"filename", "language", "Go", "Makefile", "Markdown", "Go Checksum File", "Go Module File", "Shell Script", "C", "YAML", "Go Template File", "Python", "JSON", "Properties", "Docker", "Go Work File", "comment", "blank", "total"
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\go.sum", "Go Checksum File", 0, 0, 0, 586, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 587
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\client\client.go", "Go", 285, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 39, 387
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\handler\v1\hander.go", "Go", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 18, 127
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\model\ccae.go", "Go", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\model\common.go", "Go", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 121
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\model\config.go", "Go", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 15, 99
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\model\error_code.go", "Go", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\model\login.go", "Go", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\model\topo.go", "Go", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 48
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\router\router.go", "Go", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 28
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\pkg\router\router_middleware\register_middleware.go", "Go", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 130
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\vendor\github.com\bytedance\sonic\.licenserc.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\vendor\github.com\bytedance\sonic\CODE_OF_CONDUCT.md", "Markdown", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\vendor\github.com\bytedance\sonic\CONTRIBUTING.md", "Markdown", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 64
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\vendor\github.com\bytedance\sonic\Makefile", "Makefile", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 19, 113
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\vendor\github.com\bytedance\sonic\README.md", "Markdown", 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 363
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\vendor\github.com\bytedance\sonic\README_ZH_CN.md", "Markdown", 0, 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 383
"d:\workspace\GO\src\ctyun-code.srdcloud.cn\aiplat\cwai-watcher\vendor\github.com\bytedance\sonic\api.go", "Go", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 27, 186
